,Classifiers,batch,score,time,confusion_matrix
21,Logistic Regression,12000,0.887119326126249,1.8011934757232666,"[[5296    5   20   33   25    5  145    7   23    1]
 [   2 5328  127  273  335   63  297   68   29  133]
 [  27   22 5587   73   17    1   34   90   35    2]
 [   5    9   42 5528   25   37    1  120   17   35]
 [  36    7   15    1 5349    1  119   47    5  142]
 [  10   13   21  760  135 4408   84   29   50   29]
 [  66   39    0    1   29  104 5502    0  117    0]
 [   0   55   37  120  243    3    0 5550   11   78]
 [ 177   64   47   63  142   59  124   84 4521  414]
 [  61   30    9  145  390    2    6  206    7 4957]]"
22,Logistic Regression,13000,0.8899498687037479,2.3810267448425293,"[[5296    5   20   37   26    6  141    7   21    1]
 [   3 5413  122  252  314   70  279   71   26  105]
 [  26   22 5578   76   17    1   37   94   35    2]
 [   5    9   39 5528   26   38    1  125   18   30]
 [  35    7   16    1 5353    1  115   48    3  143]
 [  10   13   18  712  140 4464   79   30   50   23]
 [  66   39    0    2   32  110 5497    0  112    0]
 [   0   55   38  119  245    3    0 5563   12   62]
 [ 173   58   45   53  145   59  122   84 4553  403]
 [  54   29    9  144  407    2    6  208    7 4947]]"
23,Logistic Regression,14000,0.8893871704805102,2.6706435680389404,"[[5289    5   19   37   27    6  146    7   23    1]
 [   3 5366  137  246  325   80  288   69   27  114]
 [  24   22 5575   72   17    1   42   93   40    2]
 [   5    9   40 5522   25   39    1  132   17   29]
 [  36    7   15    1 5347    0  112   48    4  152]
 [  10   13   17  688  141 4487   78   34   46   25]
 [  67   37    0    2   39  110 5500    0  103    0]
 [   0   57   40  124  237    3    0 5558   16   62]
 [ 177   58   48   52  147   59  125   86 4556  387]
 [  55   30   10  141  381    2    5  223    7 4959]]"
24,Logistic Regression,15000,0.8894212734031306,2.65315318107605,"[[5301    5   19   34   27    6  140    7   20    1]
 [   3 5348  142  245  325   77  288   68   30  129]
 [  26   22 5582   62   18    1   41   98   36    2]
 [   5    8   37 5521   28   40    1  131   18   30]
 [  37    8   13    1 5340    0  115   45    4  159]
 [  14   13   17  684  142 4481   80   35   47   26]
 [  70   34    0    2   40  104 5492    0  116    0]
 [   0   56   40  124  241    3    0 5558   15   60]
 [ 185   55   44   53  148   58  125   86 4549  392]
 [  55   30   10  140  366    2    5  209    7 4989]]"
25,Logistic Regression,16000,0.8937011901919995,2.9341633319854736,"[[5307    5   20   31   25    6  135    7   23    1]
 [   3 5397  140  242  328   73  263   75   27  107]
 [  25   22 5585   66   17    1   39   92   39    2]
 [   5    8   37 5528   25   38    1  128   19   30]
 [  36    9   14    1 5347    0  114   45    4  152]
 [  11   14   15  647  140 4519   76   34   52   31]
 [  70   36    0    1   40  100 5494    0  117    0]
 [   0   56   38  104  223    3    0 5612   15   46]
 [ 159   53   43   52  143   49  115   85 4611  385]
 [  53   30   10  132  354    2    5  208    7 5012]]"
26,Logistic Regression,17000,0.8977253350612148,3.2004518508911133,"[[5326    5   21   25   26    5  119    7   25    1]
 [   3 5443  139  235  353   72  229   85   21   75]
 [  26   22 5581   66   18    1   38   94   39    3]
 [   5    7   36 5533   27   35    1  128   20   27]
 [  37    8   15    1 5361    0  109   44    3  144]
 [  11   14   15  610  141 4566   72   30   52   28]
 [  71   34    0    1   42   92 5514    0  104    0]
 [   0   51   37  103  219    3    0 5630   14   40]
 [ 156   56   46   51  137   47   92   78 4689  343]
 [  55   29   10  126  375    2    5  199    7 5005]]"
27,Logistic Regression,18000,0.9010503700167104,3.2962019443511963,"[[5351    5   19   18   23    3  112    8   20    1]
 [   3 5552  126  237  282   73  208   72   19   83]
 [  25   22 5602   60   16    1   31   92   36    3]
 [   5    7   36 5554   16   36    1  116   19   29]
 [  37    7   18    1 5360    0  106   41    4  148]
 [  11   13   14  616  129 4568   73   25   52   38]
 [  72   34    0    1   38   91 5522    0  100    0]
 [   0   50   40  113  222    3    0 5615   15   39]
 [ 155   52   47   53  133   51   92   68 4680  364]
 [  55   29   10  121  358    2    5  187    7 5039]]"
28,Logistic Regression,19000,0.9038468096715888,3.9255101680755615,"[[5368    5   18   16   20    3   99    8   22    1]
 [   3 5606  117  235  270   69  191   70   19   75]
 [  25   22 5608   59   17    1   29   90   34    3]
 [   5    7   35 5557   18   37    1  111   20   28]
 [  38    8   19    0 5365    0  101   42    4  145]
 [  11   13   14  609  123 4584   72   24   52   37]
 [  72   35    0    1   37   90 5519    0  104    0]
 [   0   49   42  117  230    3    0 5603   15   38]
 [ 147   53   46   50  127   49   90   66 4740  327]
 [  56   29   10  127  334    2    5  186    7 5057]]"
29,Logistic Regression,20000,0.9069160727074309,4.049187183380127,"[[5372    5   18   17   20    3   96    7   21    1]
 [   3 5642  120  232  260   71  180   60   20   67]
 [  26   21 5613   63   15    1   28   82   36    3]
 [   4    7   34 5578   17   38    1   91   21   28]
 [  38    9   19    0 5364    0  100   44    6  142]
 [  10   14   15  584  103 4645   64   23   52   29]
 [  71   35    0    1   31   88 5527    0  105    0]
 [   0   50   41  119  223    3    0 5609   16   36]
 [ 141   55   45   52  120   52   86   61 4768  315]
 [  57   29   10  130  319    2    5  185    7 5069]]"
30,LDA,100,0.4994543532380725,0.1486036777496338,"[[4709   30  312   17   89    5  126    9  248   15]
 [ 527 2783 1197  424  151   19  128  460  846  120]
 [ 163   10 4417  699  106    9  146  221   78   39]
 [ 129   24 1035 3551  141  186  139  292  227   95]
 [ 168  579  642  340 2880  153  582   53  187  138]
 [ 163   80   45 3579   13  381 1023   87   52  116]
 [ 446  273  142  564  122   75 3756   87  335   58]
 [ 129  343 1243  838  322  170   12 2253  490  297]
 [ 797  196  412  120   94   37  640  198 2661  540]
 [ 456  458  234 1835   17   11  142  183  577 1900]]"
31,LDA,200,0.6373836237765577,0.14261937141418454,"[[4778   47   28   15  216  142   98    9  175   52]
 [  75 4942   88  135   62   83  707   54  196  313]
 [  16  222 4629  502   37    8  218  223   17   16]
 [   9  245   45 4917   14  324   35  104   41   85]
 [  33  114 1014   29 3784    0  216   38  241  253]
 [   7   36   15 2189  130 2925   57  103   19   58]
 [  16  445   78  364  212  137 4451   31   59   65]
 [ 125  371  399 1142  180  336  123 1856   37 1528]
 [ 477  552   60  181  350  120  341  144 2520  950]
 [ 108  125 1697  302  259   28    7  168  541 2578]]"
32,LDA,300,0.6414589230297036,0.14461159706115725,"[[5132   22   31    3   76   85  161    9   33    8]
 [  10 4492   64   66  830   57  210   70  307  549]
 [  23  243 4104  271   35   20   69 1039   42   42]
 [   6   69   75 4247   15  293   13  777  193  131]
 [ 830   63  551    9 3708    0  212    5  111  233]
 [  18   27   52 1610  134 3376   16   43  167   96]
 [ 126  952  263  319  430  192 3233   17  296   30]
 [ 150  379  317  220   99  467   11 3281  139 1034]
 [ 318  137  107   49  194   51  464   80 3169 1126]
 [2004   45  349   66  113   34   13  140  172 2877]]"
33,LDA,400,0.656549466289261,0.1575772762298584,"[[5156   29   45   10   74  129   65    7   29   16]
 [   9 4385  141  193  220  438  135   51  489  594]
 [  16   60 4243  326   24   15   55  894  245   10]
 [  10   67   36 4185    9  328   21  323  709  131]
 [1260   18  204    0 3493    0  324    9   41  373]
 [  27   69    9  526   81 4368   30   64  279   86]
 [ 354  338  513   64  283   67 3702   40  426   71]
 [ 167 1042  231  183   83   47   35 3228  746  335]
 [ 230   98   59   62  210   45  284  216 2961 1530]
 [2466   24   59  102   88   20   41  174   56 2783]]"
34,LDA,500,0.657282679125601,0.15458440780639648,"[[5162   57  133    3   17  109   30   15   23   11]
 [   6 4828  641  119   54  319  110   70  348  160]
 [  18  100 4342  132    5    4   42 1195   41    9]
 [  13  101   75 4209   21  259   18  856  166  101]
 [1210  681  712    2 2595    6   60   45  101  310]
 [  24   31   47  278   35 4772   30   55  218   49]
 [ 287  328 1067   62   30  218 3421    8  325  112]
 [  75 1076  262   36   57   62    6 4249   76  198]
 [ 205  156  143   29  150  174  191  138 2832 1677]
 [1672 1234   51   98   44  115   10  280  172 2137]]"
35,LDA,600,0.6562595914469871,0.14162087440490725,"[[4972  200   64    3   33   82   37   15   23  131]
 [   1 3797  718  104  116  675  422  102  512  208]
 [  28   43 4858   67    3    3   58  794   33    1]
 [   2   85  122 4282   17  254   24  603  370   60]
 [ 140  123 1790    0 2820    2  110   27  345  365]
 [   6   24   53  391    8 4766   24   34  174   59]
 [ 122  393  951    2   37  217 3837    9  259   31]
 [  32   96 1837    4   67   21   16 3747  207   70]
 [ 238   55  108   12   85  142  463   98 3095 1399]
 [ 457   22 1786  135   21   48   39   79  913 2313]]"
36,LDA,700,0.6780343075401561,0.14859962463378906,"[[5168   69   32   39   28   95   33   17   14   65]
 [   1 3664 1449  160   62  217  257  340  447   58]
 [  32   35 5203   45    2    1   35  520   14    1]
 [   2   35  147 4453    1   82   18  988   80   13]
 [  67  121 1851    0 3031    1   97   36  290  228]
 [   5   41   47  519    5 4701   50   30  115   26]
 [  81  431 1030   11   23  214 3941    6  118    3]
 [   0   93 1865    4   39   13    0 4012   47   24]
 [ 216   88   89   71   64   91  571  124 3132 1249]
 [ 254   21 1773  157   12   39   60   97  941 2459]]"
37,LDA,800,0.6987006786481601,0.1545870304107666,"[[5134  108   23   37   26  116   35   16    9   56]
 [   1 4032 1260  140   78  246  194  359  292   53]
 [  33   35 5283   54    0    1   22  447   12    1]
 [   2   78  109 4438    0   64   15 1033   63   17]
 [  62  149 1674    0 3190    1   98   24  289  235]
 [   5   71   30  365    9 4838   79   40   79   23]
 [ 155 1086  210   64   35  143 4044   19   96    6]
 [   0   93 1809    6   37    5    0 4089   44   14]
 [ 212  138   55   56   65   73  437  121 3399 1139]
 [ 219   35 1808  129    9   28   80   87  889 2529]]"
38,LDA,900,0.7796098625652218,0.15358734130859375,"[[5102  127   12   48   30   99   39   17    7   79]
 [   1 4037 1232  135   56  200  247  391  299   57]
 [  30   43 5288   39    2    1   13  457   14    1]
 [   2   56   43 4303    0  103   14 1246   37   15]
 [  62  416  394    1 4380    2   62   20   28  357]
 [   7   36   14  246    3 5064   68   39   47   15]
 [ 152  885  340   67   18  112 4192    5   85    2]
 [   0 1095   47   75   50   31    2 4738   36   23]
 [ 210  140   48   58   58   90  413  114 3468 1096]
 [ 110   80   64  140   23   54   55  105   33 5149]]"
39,LDA,1000,0.7873171230774477,0.14860200881958008,"[[5151  112   16   49   29  108   33   14    9   39]
 [   1 4155 1046  133  156  178  338  254  321   73]
 [  29   50 5367   23    4    0   13  384   18    0]
 [   2   53   56 4393    1  112   10 1103   72   17]
 [  65  401  208    0 4622    2   68   17   25  314]
 [  11   84   10  566    4 4633   63   58   81   29]
 [ 190  952   56  110   72   65 4295    5  109    4]
 [   0 1142   59   11   40   10    0 4773   36   26]
 [ 188  132   74   62   48   49  349   79 3630 1084]
 [ 121   81   58  147   19   41   48  107   37 5154]]"
40,LDA,1000,0.7873171230774477,0.1545853614807129,"[[5151  112   16   49   29  108   33   14    9   39]
 [   1 4155 1046  133  156  178  338  254  321   73]
 [  29   50 5367   23    4    0   13  384   18    0]
 [   2   53   56 4393    1  112   10 1103   72   17]
 [  65  401  208    0 4622    2   68   17   25  314]
 [  11   84   10  566    4 4633   63   58   81   29]
 [ 190  952   56  110   72   65 4295    5  109    4]
 [   0 1142   59   11   40   10    0 4773   36   26]
 [ 188  132   74   62   48   49  349   79 3630 1084]
 [ 121   81   58  147   19   41   48  107   37 5154]]"
41,LDA,2000,0.8732735395423388,0.15658187866210938,"[[5268   37   11   22   49   18   61    9   81    4]
 [   1 5487  226  152    3  107  164  386   76   53]
 [  19   48 5298   21    1    6   12  463   17    3]
 [   3   32   46 4971    0   38   10  681   24   14]
 [  28  507   67    0 4544    2   78   27   37  432]
 [  11   25    8  379    3 4920   68   38   62   25]
 [ 116   88   44  116   62  220 5094    0  115    3]
 [   0  131   51    4   17    1    0 5829   27   37]
 [ 125  110   45   24   41   54  182   63 4483  568]
 [  32   62    5  151   21   37   18  147   20 5320]]"
42,LDA,3000,0.8935477270402074,0.16356587409973145,"[[5228   21   23   32   44    3   76   12  120    1]
 [   1 5678  224  125    5   89  133  289   79   32]
 [  16   43 5383   17    2    1   22  385   18    1]
 [   5   37   35 5032    1   19    3  653   20   14]
 [  12  317   45    0 4899    0   73   21   19  336]
 [   9   32    8  262    4 5050   57   36   55   26]
 [  98   52   29   15  133   81 5347    0  100    3]
 [   0  139   40    4   32    1    0 5832   23   26]
 [  92  115   38   14   46   80  117   52 4638  503]
 [  12   57    6  135   46   33   18  165   25 5316]]"
43,LDA,4000,0.8853630256112949,0.18151235580444336,"[[5080   16   16   46   43    6   81   15  256    1]
 [   0 5503  355  108    4   87  163  313   69   53]
 [  13   43 5432   10    0    1   33  329   27    0]
 [   4   36   41 5022    1   27    3  654   18   13]
 [  15  290   52    0 4804    1   88   28   37  407]
 [  10   32   12  285    3 4994   72   49   58   24]
 [  91   48   31   13  148   72 5363    0   89    3]
 [   0  131   44    3   28    1    0 5831   34   25]
 [ 115   98   36   11   48   64  150   65 4655  453]
 [  19   49   10  138   37   14   23  251   33 5239]]"
44,LDA,5000,0.8905296183882959,0.1904923915863037,"[[5240   11   14   43   40    1   89   17  104    1]
 [   0 5413  475  107    9   81  133  304   68   65]
 [  19   48 5422    9    1    0   29  327   32    1]
 [   4   30   41 5118    0   27    5  557   20   17]
 [  21  177   45    0 4895    0   88    9   60  427]
 [  10   20   17  289    3 4978   80   40   72   30]
 [ 105   38   31   20  155   77 5311    0  120    1]
 [   0  119   44    1   35    1    0 5836   35   26]
 [ 132   72   36    9   68   44  129   70 4650  485]
 [  26   39   11  135   58    8   20  111   42 5363]]"
45,LDA,6000,0.9025167956893906,0.19751501083374026,"[[5260   14   13   23   36    1   75   22  115    1]
 [   0 5642  337   86    5   46   91  322   50   76]
 [  20   38 5528    9    1    0   23  236   32    1]
 [   2   26   34 5224    0   24    3  463   23   20]
 [  20  141   41    0 4934    0   92   12   60  422]
 [  10   19   13  295    3 4960   62   47   89   41]
 [ 112   42   36   30  123   51 5296    0  166    2]
 [   0   66   40    2   31    1    0 5903   31   23]
 [  86   66   34    5   57   28   83   71 4766  499]
 [  28   32    9  108   50    1   22  112   35 5416]]"
46,LDA,7000,0.9124407461719468,0.2064516544342041,"[[5313   12   14   16   27    0   61   22   93    2]
 [   0 5713  274   92    7   52   71  341   45   60]
 [  21   40 5530   10    1    0   22  235   28    1]
 [   1   16   30 5326    0   26    2  371   25   22]
 [  22   85   44    0 5114    0   87    9   37  324]
 [   9    9   12  291    4 4988   59   40   87   40]
 [ 107   46   36   29  120   43 5330    0  147    0]
 [   0   56   40    2   46    1    0 5910   22   20]
 [  84   54   36    5   65   33   67   68 4866  417]
 [  30   33    9   81   75    6   19  104   35 5421]]"
47,LDA,8000,0.9207618592913412,0.22442317008972168,"[[5333   14   13   15   19    0   62   19   83    2]
 [   0 5940  218   97    8   34   44  246   26   42]
 [  21   38 5568   13    1    0   14  206   26    1]
 [   1   14   30 5405    1   20    2  302   22   22]
 [  21   90   51    0 5133    0   88    6   32  301]
 [   8   10    8  326    5 4970   63   34   71   44]
 [  81   42   38   34   77   34 5438    0  113    1]
 [   0   59   42    3   49    1    0 5894   25   24]
 [  81   59   42    6   56   28   70   56 4885  412]
 [  31   34    9   79   70    7   20   96   34 5433]]"
